Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
fabric-loader-0.18.5.jar (modloader)                                         | fabric                                                       | 
1.20-jains-desserts-2.0.0.jar                                                | jains_deserts                                                | 
1.20-more-potions-2.0.0.jar                                                  | more_potions                                                 | more_potions.mixins.json
1.20.1-convenient-hitboxes-1.0.5.jar                                         | convenient_hitboxes                                          | convenient_hitboxes.mixins.json
1.20.1-stunningstatues-1.0.2.jar                                             | stunningstatues                                              | 
1.20.1-throwable-fluids-3.0.0.jar                                            | throwablefluids                                              | 
[fabric]ctov-3.4.14.jar                                                      | ctov                                                         | ctov-common.mixins.json, ctov.mixins.json
aaa_particles-1.20.1-1.4.8-fabric.jar                                        | aaa_particles                                                | aaa_particles-common.mixins.json, aaa_particles.mixins.json
    /META-INF/jars/architectury-fabric-9.2.14.jar                            | architectury                                                 | architectury.mixins.json, architectury-common.mixins.json
Acclaimed-Origins-1.20.x-Fabric.jar                                          | acclaimed_origins                                            | 
AdditionalStructures-1.20.x-(v.4.2.2-fabric).jar                             | additionalstructures                                         | additionalstructures.mixins.json
adventurez-1.4.20.jar                                                        | adventurez                                                   | adventurez.mixins.json
airchidori-fabric-1.20.1-1.0.9.jar                                           | airchidori                                                   | 
alexsmobsfabric-1.20.1-1.2.1.jar                                             | alexsmobs                                                    | alexsmobs.mixins.json
alloy-forgery-2.1.2+1.20.jar                                                 | alloy_forgery                                                | alloy-forgery.mixins.json
    /META-INF/jars/owo-sentinel-0.11.1+1.20.jar                              | owo-sentinel                                                 | 
AltOriginGui-fabric-1.20.1-1.1.1.jar                                         | altorigingui                                                 | altorigingui.mixins.json, altorigingui.fabric.mixins.json
amendments-1.20-1.2.19-fabric.jar                                            | amendments                                                   | amendments-common.mixins.json, amendments.mixins.json
amethyst_core-1.5.0+1.20.1.jar                                               | amethyst_core                                                | amethyst_core.mixins.json
    /META-INF/jars/common-protection-api-1.0.0.jar                           | common-protection-api                                        | 
amethyst_imbuement-1.20.1-19.8.jar                                           | amethyst_imbuement                                           | amethyst_imbuement.mixins.json
    /META-INF/jars/conditional-mixin-v0.3.2.jar                              | conditional-mixin                                            | 
    /META-INF/jars/should_i_hit_that-0.1.2+1.20.1.jar                        | should_i_hit_that                                            | 
        /META-INF/jars/common-protection-api-1.0.0.jar                       | common-protection-api                                        | 
        /META-INF/jars/PlayerAbilityLib-1.8.0.jar                            | playerabilitylib                                             | mixins.playerabilitylib.common.json
